Task,Task_Number,Task_Type,Answer_Out,Solution,Correct,Time,TimeOut,Correct_Only_Time,SubjectID
Task1CM,1,CM,5,5,True,161.778,False,161.778,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task2CM,2,CM,"[8, 6, 1, 5, 7, 9, 3]","[9, 1]",False,251.226,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task3CM,3,CM,10,5,False,320.501,True,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task4CM,4,CM,3,5,False,306.141,True,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task5CM,5,CM,1,3,False,213.158,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task6CM,6,CM,101,4,False,204.353,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task7CP,7,CP,4,1024,False,217.533,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task8CP,8,CP,7,13,False,243.536,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task9CP,9,CP,"[2, 3, 5, 7, 11, 13, 17]","[2, 3, 5, 7, 11, 13, 17]",True,287.749,False,287.749,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task10CP,10,CP,7,7,True,214.915,False,214.915,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task11CP,11,CP,2,6,False,154.299,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task12CP,12,CP,TRUE,TRUE,True,151.005,False,151.005,615db7bf-3727-4ad8-a57f-4b18d9d94739
