Task12CM,Task2CP,Task10CM,Task6CP,Task3CP,Task1CP,Task11CM,Task4CP,Task7CM,Task5CP,Task8CM,Task9CM
Task5CP,Task12CM,Task6CP,Task1CP,Task9CM,Task11CM,Task3CP,Task10CM,Task7CM,Task4CP,Task2CP,Task8CM
Task10CM,Task1CP,Task4CP,Task3CP,Task12CM,Task8CM,Task9CM,Task2CP,Task6CP,Task5CP,Task11CM,Task7CM
Task9CM,Task11CM,Task5CP,Task12CM,Task7CM,Task3CP,Task8CM,Task2CP,Task4CP,Task6CP,Task1CP,Task10CM
Task10CM,Task11CM,Task5CP,Task1CP,Task9CM,Task7CM,Task4CP,Task2CP,Task12CM,Task8CM,Task6CP,Task3CP
Task5CP,Task11CM,Task10CM,Task8CM,Task4CP,Task2CP,Task1CP,Task6CP,Task3CP,Task7CM,Task12CM,Task9CM
Task9CM,Task6CP,Task11CM,Task8CM,Task3CP,Task7CM,Task5CP,Task12CM,Task10CM,Task1CP,Task4CP,Task2CP
Task1CP,Task11CM,Task7CM,Task8CM,Task9CM,Task4CP,Task10CM,Task12CM,Task5CP,Task2CP,Task3CP,Task6CP
Task1CP,Task4CP,Task5CP,Task9CM,Task2CP,Task12CM,Task7CM,Task6CP,Task11CM,Task3CP,Task10CM,Task8CM
Task7CM,Task9CM,Task3CP,Task4CP,Task5CP,Task6CP,Task10CM,Task1CP,Task12CM,Task11CM,Task2CP,Task8CM
Task3CM,Task11CP,Task1CM,Task12CP,Task6CM,Task2CM,Task9CP,Task5CM,Task4CM,Task10CP,Task7CP,Task8CP
Task7CP,Task10CP,Task9CP,Task5CM,Task2CM,Task6CM,Task4CM,Task8CP,Task11CP,Task1CM,Task12CP,Task3CM
Task6CM,Task10CP,Task2CM,Task12CP,Task8CP,Task1CM,Task11CP,Task3CM,Task9CP,Task4CM,Task5CM,Task7CP
Task5CM,Task7CP,Task12CP,Task9CP,Task6CM,Task8CP,Task2CM,Task10CP,Task3CM,Task11CP,Task4CM,Task1CM
Task8CP,Task10CP,Task2CM,Task1CM,Task5CM,Task3CM,Task12CP,Task9CP,Task11CP,Task7CP,Task6CM,Task4CM
Task2CM,Task6CM,Task7CP,Task12CP,Task9CP,Task10CP,Task4CM,Task3CM,Task5CM,Task8CP,Task1CM,Task11CP
Task12CP,Task8CP,Task7CP,Task4CM,Task10CP,Task6CM,Task3CM,Task11CP,Task5CM,Task2CM,Task1CM,Task9CP
Task11CP,Task1CM,Task8CP,Task4CM,Task12CP,Task7CP,Task10CP,Task3CM,Task6CM,Task2CM,Task9CP,Task5CM
Task6CM,Task7CP,Task9CP,Task1CM,Task4CM,Task3CM,Task10CP,Task12CP,Task2CM,Task5CM,Task11CP,Task8CP
Task3CM,Task9CP,Task10CP,Task6CM,Task7CP,Task1CM,Task2CM,Task4CM,Task5CM,Task8CP,Task11CP,Task12CP
